Timestamp,Ultrasonic(cm),LiDAR(cm),Status,Snapshot
2026-04-21 19:57:58.474,29.8,76.0,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_195758_470_obstacle.jpg
2026-04-21 19:58:02.800,29.6,76.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_195802_796_obstacle.jpg
2026-04-21 19:58:51.839,29.7,76.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_195851_835_obstacle.jpg
2026-04-21 20:00:24.583,29.8,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200024_579_obstacle.jpg
2026-04-21 20:00:25.190,29.8,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200025_186_obstacle.jpg
2026-04-21 20:01:23.768,29.7,75.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200123_764_obstacle.jpg
2026-04-21 20:01:35.929,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200135_925_obstacle.jpg
2026-04-21 20:02:00.045,29.7,75.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200200_041_obstacle.jpg
2026-04-21 20:02:56.127,29.8,76.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200256_123_obstacle.jpg
2026-04-21 20:02:59.650,29.8,75.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200259_646_obstacle.jpg
2026-04-21 20:02:59.856,29.8,76.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200259_851_obstacle.jpg
2026-04-21 20:03:00.062,29.8,76.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200300_058_obstacle.jpg
2026-04-21 20:03:09.611,29.7,75.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200309_607_obstacle.jpg
2026-04-21 20:03:18.760,29.8,76.4,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200318_756_obstacle.jpg
2026-04-21 20:03:43.090,29.8,75.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200343_087_obstacle.jpg
2026-04-21 20:03:59.171,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200359_166_obstacle.jpg
2026-04-21 20:04:03.094,29.8,76.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200403_090_obstacle.jpg
2026-04-21 20:04:03.600,29.7,76.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200403_596_obstacle.jpg
2026-04-21 20:04:06.518,29.8,75.2,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200406_514_obstacle.jpg
2026-04-21 20:04:07.828,29.7,76.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200407_824_obstacle.jpg
2026-04-21 20:04:14.965,29.7,75.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200414_961_obstacle.jpg
2026-04-21 20:04:15.472,29.7,75.0,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200415_468_obstacle.jpg
2026-04-21 20:04:19.897,29.8,75.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200419_893_obstacle.jpg
2026-04-21 20:04:20.403,29.7,75.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200420_400_obstacle.jpg
2026-04-21 20:04:22.919,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200422_915_obstacle.jpg
2026-04-21 20:04:24.431,29.7,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200424_428_obstacle.jpg
2026-04-21 20:04:26.546,29.7,75.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200426_542_obstacle.jpg
2026-04-21 20:04:26.760,29.7,75.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200426_752_obstacle.jpg
2026-04-21 20:04:32.997,29.7,76.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200432_993_obstacle.jpg
2026-04-21 20:04:33.303,29.7,75.7,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200433_299_obstacle.jpg
2026-04-21 20:04:33.910,29.7,74.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200433_906_obstacle.jpg
2026-04-21 20:04:34.517,29.7,75.3,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200434_513_obstacle.jpg
2026-04-21 20:04:34.923,29.8,76.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200434_919_obstacle.jpg
2026-04-21 20:04:35.129,29.8,75.5,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200435_125_obstacle.jpg
2026-04-21 20:04:35.434,29.7,76.8,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200435_430_obstacle.jpg
2026-04-21 20:04:35.840,29.7,76.1,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200435_836_obstacle.jpg
2026-04-21 20:04:36.046,29.7,75.6,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200436_042_obstacle.jpg
2026-04-21 20:04:36.954,29.7,75.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200436_950_obstacle.jpg
2026-04-21 20:04:38.666,29.7,75.9,OBSTACLE,/home/ubuntu/software_ws/snapshots/20260421_200438_662_obstacle.jpg
